filter,roe_filter,revenue_filter,ema_period,total_return,sharpe,max_dd,trades,stopped,stop_pct,win_rate
No Filters (Baseline),False,False,None,2063.7604136271475,3.126488691922406,-20.51751355530348,2685,1243,46.29422718808194,14.860335195530727
ROE > 0,True,False,None,902.5194848587328,2.7346762822346835,-15.920053438021709,2551,1308,51.27401019208153,28.969031752254015
Revenue Growth > 0,False,True,None,819.3832569896214,2.8276904990389524,-11.858546899613136,2530,1252,49.48616600790513,24.268774703557312
ROE + Revenue > 0,True,True,None,546.2999050710828,2.538142253301882,-15.639591334345793,2461,1253,50.914262494920756,32.87281592848436
EMA20,False,False,20,6699.76924859489,2.3005066949606245,-36.84367305544983,2677,1938,72.39447142323496,26.148673888681362
EMA50,False,False,50,11550.656049884863,2.5445084028682103,-30.9363898419753,2654,1916,72.19291635267521,26.29992464204974
EMA100,False,False,100,9986.296317223118,2.541109578109018,-30.93540535556203,2647,1884,71.17491499811108,27.125047223271626
EMA200,False,False,200,7958.815935270028,2.5852085588004976,-33.31005731298466,2633,1844,70.03418154196733,28.2947208507406
ROE + EMA20,True,False,20,1002.1776532893446,2.269497199312825,-26.282560832490727,2418,1505,62.24152191894128,34.946236559139784
ROE + EMA50,True,False,50,1037.0826917028892,2.3448090083086632,-26.46030100081878,2396,1482,61.85308848080133,35.35058430717863
ROE + EMA100,True,False,100,864.6240567634537,2.366069002144996,-26.373761374164097,2379,1457,61.2442202606137,36.10760823875578
ROE + EMA200,True,False,200,806.8949238752414,2.2267576725700113,-26.338890226109353,2414,1479,61.267605633802816,36.12261806130903
ROE + Rev + EMA20,True,True,20,446.7454592818197,2.0616652949934733,-26.55491112261707,2213,1301,58.7889742431089,37.596023497514686
ROE + Rev + EMA50,True,True,50,383.12206268765055,1.8284670611185954,-27.090673203497072,2283,1369,59.964958388085854,36.70608848007008
ROE + Rev + EMA100,True,True,100,397.33871032608886,1.8845144847612278,-32.30160848477056,2246,1355,60.329474621549416,36.5093499554764
